序号,专项,报警编号,报警等级,现场工作人员核实-是否误报,综合研判-误报,研判备注,现场核实内容,报警状态,监测指标,设备标识码,设备名称,设施名称,报警生成时间,初次报警时间,初次报警值,报警阈值,当前报警值,报警核实时间,操作人员,报警处置时间,处置内容,操作人员.1,消警时间,消警内容,回复附件,初次报警时间.1,报警前10次推送值,推送时间10,报警前9次推送值,推送时间9,报警前8次推送值,推送时间8,报警前7次推送值,推送时间7,报警前6次推送值,推送时间6,报警前5次推送值,推送时间5,报警前4次推送值,推送时间4,报警前3次推送值,推送时间3,报警前2次推送值,推送时间2,报警前1次推送值,推送时间1,报警后1次推送值,推送时间2-1,报警后2次推送值,推送时间2-2,报警后3次推送值,推送时间2-3,报警后4次推送值,推送时间2-4,报警后5次推送值,推送时间2-5,报警后6次推送值,推送时间2-6,报警后7次推送值,推送时间2-7,报警后8次推送值,推送时间2-8,报警后9次推送值,推送时间2-9,报警后10次推送值,推送时间2-10
783,城市内涝,PS011881336835410644993,2,是,误报,手机天气预报的截图显示晴天,晴天，误报警,消警,PS0101,24005656,平江范庄前20号地埋式积水监测,平江范庄前20号,2025-01-20 21:43:49,2025-01-20 09:01:49,37.9,27.0,27.0,姑苏区-刘洋,晴天，误报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/19CEEA02-C3B0-4B64-A436-977A4D2C0FA1_1739847160791.png,2025-01-20 09:01:49,0.0,2025-01-20 09:01:48,0.0,2025-01-20 08:01:49,0.0,2025-01-20 08:01:49,0.0,2025-01-20 08:01:48,0.0,2025-01-20 08:01:48,0.0,2025-01-20 07:01:49,0.0,2025-01-20 07:01:49,0.0,2025-01-20 07:01:48,0.0,2025-01-20 07:01:48,0.0,2025-01-20 06:01:49,0.0,2025-01-20 09:01:49,37.9,2025-01-20 09:01:49,0.0,2025-01-20 10:01:49,0.0,2025-01-20 10:01:49,0.0,2025-01-20 10:01:49,0.0,2025-01-20 10:01:49,0.0,2025-01-20 11:01:49,0.0,2025-01-20 11:01:49,0.0,2025-01-20 11:01:49,0.0,2025-01-20 11:01:49
784,城市内涝,PS011880440139210182657,2,是,误报,现场正常，晴天,设备误报警,消警,PS0101,2faf202384f911ee8532fa163e52739e,唯胜路下穿沪宁铁路电子水尺,唯胜路下穿沪宁铁路立交,2025-01-18 10:20:41,2025-01-18 09:55:13,11.0,10.0,12.0,工业园区-吴罗芳,设备误报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/唯亭街道_唯胜路下穿沪宁铁路-南侧_20250218111141_1739848385095.jpg,2025-01-18 09:55:13,9.0,2025-01-18 09:50:13,9.0,2025-01-18 09:45:13,9.0,2025-01-18 09:40:13,9.0,2025-01-18 09:35:13,9.0,2025-01-18 09:30:13,8.0,2025-01-18 09:25:13,0.0,2025-01-18 09:20:13,0.0,2025-01-18 09:15:13,0.0,2025-01-18 09:10:13,0.0,2025-01-18 09:05:13,9.0,2025-01-18 10:00:13,9.0,2025-01-18 10:05:13,9.0,2025-01-18 10:10:13,12.0,2025-01-18 10:15:13,12.0,2025-01-18 10:20:13,9.0,2025-01-18 10:25:13,9.0,2025-01-18 10:30:12,12.0,2025-01-18 10:35:12,9.0,2025-01-18 10:40:13,9.0,2025-01-18 10:45:12
785,城市内涝,PS011879376758025912321,2,是,误报,现场正常,设备误报,消警,PS0101,2faf202384f911ee8532fa163e52739e,唯胜路下穿沪宁铁路电子水尺,唯胜路下穿沪宁铁路立交,2025-01-15 11:55:10,2025-01-15 11:30:19,12.0,10.0,12.0,工业园区-吴罗芳,设备误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/0115_1736931195773.png,2025-01-15 11:30:19,12.0,2025-01-15 11:25:19,12.0,2025-01-15 11:20:19,12.0,2025-01-15 11:15:19,12.0,2025-01-15 11:10:19,12.0,2025-01-15 11:05:19,12.0,2025-01-15 11:00:19,12.0,2025-01-15 10:55:19,0.0,2025-01-15 10:50:19,0.0,2025-01-15 10:45:19,0.0,2025-01-15 10:40:20,12.0,2025-01-15 11:35:19,12.0,2025-01-15 11:40:19,12.0,2025-01-15 11:45:19,12.0,2025-01-15 11:50:19,12.0,2025-01-15 11:55:19,12.0,2025-01-15 12:00:19,12.0,2025-01-15 12:05:19,12.0,2025-01-15 12:10:19,12.0,2025-01-15 12:15:19,10.0,2025-01-15 12:20:19
786,城市内涝,PS011879365428451647489,2,是,误报,现场正常,设备沾水误报,消警,PS0101,2faf202384f911ee8532fa163e52739e,唯胜路下穿沪宁铁路电子水尺,唯胜路下穿沪宁铁路立交,2025-01-15 11:10:10,2025-01-15 10:55:19,12.0,10.0,12.0,工业园区-吴罗芳,设备沾水误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/0115_1736913248539.png,2025-01-15 10:55:19,0.0,2025-01-15 10:50:19,0.0,2025-01-15 10:45:19,0.0,2025-01-15 10:40:20,0.0,2025-01-15 10:35:20,0.0,2025-01-15 10:30:20,0.0,2025-01-15 10:25:20,0.0,2025-01-15 10:20:20,0.0,2025-01-15 10:15:20,0.0,2025-01-15 10:10:20,0.0,2025-01-15 10:05:20,12.0,2025-01-15 11:00:19,12.0,2025-01-15 11:05:19,12.0,2025-01-15 11:10:19,12.0,2025-01-15 11:15:19,12.0,2025-01-15 11:20:19,12.0,2025-01-15 11:25:19,12.0,2025-01-15 11:30:19,12.0,2025-01-15 11:35:19,12.0,2025-01-15 11:40:19,12.0,2025-01-15 11:45:19
787,城市内涝,PS011878042995044024322,2,是,误报,现场正常，晴天,误报,消警,PS0101,2faf202384f911ee8532fa163e52739e,唯胜路下穿沪宁铁路电子水尺,唯胜路下穿沪宁铁路立交,2025-01-11 19:35:17,2025-01-11 19:10:04,13.0,10.0,12.0,工业园区-吴罗芳,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/5849dd96bc075bae188483ca12f21a48_1736733735354.png,2025-01-11 19:10:04,0.0,2025-01-11 19:05:04,0.0,2025-01-11 19:00:04,0.0,2025-01-11 18:55:04,0.0,2025-01-11 18:50:04,0.0,2025-01-11 18:45:04,0.0,2025-01-11 18:40:04,0.0,2025-01-11 18:35:04,0.0,2025-01-11 18:30:04,0.0,2025-01-11 18:25:04,0.0,2025-01-11 18:20:04,12.0,2025-01-11 19:15:04,12.0,2025-01-11 19:20:04,12.0,2025-01-11 19:25:04,14.0,2025-01-11 19:30:04,13.0,2025-01-11 19:35:04,12.0,2025-01-11 19:40:04,13.0,2025-01-11 19:45:04,12.0,2025-01-11 19:50:04,11.0,2025-01-11 19:55:04,12.0,2025-01-11 20:00:04
788,城市内涝,PS011875802808888987651,3,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005662,金阊天库前10号西侧拐角处地埋式积水监测,金阊天库前10号西侧拐角处,2025-01-05 15:13:35,2025-01-05 03:01:34,7.0,6.0,7.0,姑苏区-刘洋,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/6AAB4F54-FABD-4906-88C2-90567A75C943_1736061271920.png,2025-01-05 03:01:34,0.0,2025-01-05 02:01:34,0.0,2025-01-05 02:01:34,0.0,2025-01-05 02:01:34,0.0,2025-01-05 02:01:34,0.0,2025-01-05 01:01:34,0.0,2025-01-05 01:01:34,0.0,2025-01-05 01:01:34,0.0,2025-01-05 01:01:34,/,/,/,/,0.0,2025-01-05 03:01:34,0.0,2025-01-05 03:01:34,7.0,2025-01-05 03:01:34,0.0,2025-01-05 04:01:34,0.0,2025-01-05 04:01:34,0.0,2025-01-05 04:01:34,0.0,2025-01-05 04:01:34,0.0,2025-01-05 05:01:34,0.0,2025-01-05 05:01:34,0.0,2025-01-05 05:01:34
789,城市内涝,PS011873749257635467265,2,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005656,平江范庄前20号地埋式积水监测,平江范庄前20号,2024-12-30 23:13:30,2024-12-30 11:12:30,11.5,10.0,11.5,姑苏区-刘洋,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/DC15A50D-9311-4BE3-8342-DCC0630EB4C1_1735646078239.png,2024-12-30 11:12:30,0.0,2024-12-30 11:12:29,0.0,2024-12-30 11:12:29,0.0,2024-12-30 10:12:30,0.0,2024-12-30 10:12:30,0.0,2024-12-30 10:12:29,0.0,2024-12-30 10:12:29,0.0,2024-12-30 09:12:30,0.0,2024-12-30 09:12:30,0.0,2024-12-30 09:12:29,0.0,2024-12-30 09:12:29,0.0,2024-12-30 11:12:30,0.0,2024-12-30 12:12:29,0.0,2024-12-30 12:12:29,0.0,2024-12-30 12:12:29,0.0,2024-12-30 12:12:29,/,/,/,/,/,/,/,/,/,/
790,城市内涝,PS011873651110225518594,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-30 16:43:30,2024-12-30 04:12:29,39.5,15.0,39.5,姑苏区-刘洋,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/EDD2E420-CE08-411E-8A91-A36DA5312D0D_1735646058960.png,2024-12-30 04:12:29,0.0,2024-12-30 03:12:29,0.0,2024-12-30 03:12:29,39.5,2024-12-30 03:12:29,39.5,2024-12-30 03:12:29,0.0,2024-12-30 02:12:29,0.0,2024-12-30 02:12:29,39.5,2024-12-30 02:12:29,0.0,2024-12-30 02:12:29,0.0,2024-12-30 01:12:29,0.0,2024-12-30 01:12:29,39.5,2024-12-30 04:12:29,0.0,2024-12-30 04:12:29,0.0,2024-12-30 04:12:29,0.0,2024-12-30 05:12:29,0.0,2024-12-30 05:12:29,0.0,2024-12-30 05:12:29,0.0,2024-12-30 05:12:29,0.0,2024-12-30 06:12:29,0.0,2024-12-30 06:12:29,0.0,2024-12-30 06:12:29
791,城市内涝,PS011873620911119335425,1,是,误报,手机天气预报的截图显示晴天,误报警,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-30 14:43:30,2024-12-30 02:12:29,39.5,15.0,39.5,姑苏区-刘洋,误报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/F5503C56-F37F-49D5-AD3B-6207C504E0F2_1735547868326.png,2024-12-30 02:12:29,0.0,2024-12-30 01:12:29,0.0,2024-12-30 01:12:29,0.0,2024-12-30 01:12:29,0.0,2024-12-30 01:12:29,/,/,/,/,/,/,/,/,/,/,/,/,39.5,2024-12-30 02:12:29,0.0,2024-12-30 02:12:29,0.0,2024-12-30 02:12:29,39.5,2024-12-30 03:12:29,39.5,2024-12-30 03:12:29,0.0,2024-12-30 03:12:29,0.0,2024-12-30 03:12:29,39.5,2024-12-30 04:12:29,39.5,2024-12-30 04:12:29,0.0,2024-12-30 04:12:29
792,城市内涝,PS011867082817037565955,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-12 13:43:27,2024-12-12 01:12:24,14.7,15.0,16.6,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/A25EEB7E-8024-42EF-B440-505958F9D443_1733968755871.png,2024-12-12 01:12:24,32.0,2024-12-12 01:12:07,32.0,2024-12-12 01:12:07,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,11.3,2024-12-12 01:12:24,14.0,2024-12-12 02:12:07,14.0,2024-12-12 02:12:07,16.8,2024-12-12 02:12:24,16.6,2024-12-12 02:12:24,29.0,2024-12-12 03:12:07,29.0,2024-12-12 03:12:07,0.0,2024-12-12 03:12:24,16.6,2024-12-12 03:12:24,14.0,2024-12-12 04:12:07
793,城市内涝,PS011867075259287613443,2,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-12 13:13:25,2024-12-12 01:12:24,11.3,10.0,11.3,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/68300C06-25C8-4609-AAC4-85C188463C5E_1733980514245.png,2024-12-12 01:12:24,32.0,2024-12-12 01:12:07,32.0,2024-12-12 01:12:07,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,11.3,2024-12-12 01:12:24,14.0,2024-12-12 02:12:07,14.0,2024-12-12 02:12:07,16.8,2024-12-12 02:12:24,16.6,2024-12-12 02:12:24,29.0,2024-12-12 03:12:07,29.0,2024-12-12 03:12:07,0.0,2024-12-12 03:12:24,16.6,2024-12-12 03:12:24,14.0,2024-12-12 04:12:07
794,城市内涝,PS011866876381628104707,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-12 00:03:09,2024-12-12 12:12:07,25.0,15.0,15.0,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/56B40D57-A170-4286-BA50-9D9694216809_1734002370215.png,2024-12-12 12:12:07,0.0,2024-12-12 11:12:25,0.0,2024-12-12 11:12:25,4.8,2024-12-12 11:12:24,4.8,2024-12-12 11:12:24,0.0,2024-12-12 10:12:25,0.0,2024-12-12 10:12:25,4.5,2024-12-12 10:12:24,2.8,2024-12-12 10:12:24,0.0,2024-12-12 09:12:25,0.0,2024-12-12 09:12:25,32.0,2024-12-12 12:12:07,4.8,2024-12-12 12:12:24,4.8,2024-12-12 12:12:24,4.8,2024-12-12 12:12:24,/,/,/,/,/,/,/,/,/,/,/,/
795,城市内涝,PS011866868829091672068,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 23:33:08,2024-12-11 11:12:07,25.0,15.0,25.0,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/4E782E72-9388-401D-B713-8C38EC214B79_1733931392875.png,2024-12-11 11:12:07,38.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,78.0,2024-12-11 10:12:07,78.0,2024-12-11 10:12:07,43.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,79.0,2024-12-11 11:12:07,29.0,2024-12-11 11:12:07,25.0,2024-12-11 11:12:07,109.0,2024-12-11 12:12:07,109.0,2024-12-11 12:12:07,71.0,2024-12-11 12:12:07,75.0,2024-12-11 12:12:07,/,/,/,/,/,/
796,城市内涝,PS011866861279046696961,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 23:03:08,2024-12-11 11:12:07,29.0,15.0,29.0,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/CA9102E5-5ADD-4F49-9214-6BA271DC71A7_1733929423027.png,2024-12-11 11:12:07,38.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,78.0,2024-12-11 10:12:07,78.0,2024-12-11 10:12:07,43.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,79.0,2024-12-11 11:12:07,29.0,2024-12-11 11:12:07,25.0,2024-12-11 11:12:07,109.0,2024-12-11 12:12:07,109.0,2024-12-11 12:12:07,71.0,2024-12-11 12:12:07,75.0,2024-12-11 12:12:07,/,/,/,/,/,/
797,城市内涝,PS011866853728934592514,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 22:33:08,2024-12-11 10:12:07,38.0,15.0,38.0,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/B84BC247-BCF1-48AF-A96F-BD6324E2EDA1_1733926784752.png,2024-12-11 10:12:07,43.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,78.0,2024-12-11 08:12:07,76.0,2024-12-11 08:12:07,44.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,78.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,79.0,2024-12-11 11:12:07,79.0,2024-12-11 11:12:07,29.0,2024-12-11 11:12:07,25.0,2024-12-11 11:12:07,109.0,2024-12-11 12:12:07,109.0,2024-12-11 12:12:07,71.0,2024-12-11 12:12:07
798,城市内涝,PS011866846179309006851,1,是,误报,手机天气预报的截图显示晴天,误报,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 22:03:08,2024-12-11 10:12:07,38.0,15.0,38.0,18262622352,误报,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/53AAFECE-B32E-4FA2-B05B-E4CE2DA3170C_1733927625163.png,2024-12-11 10:12:07,43.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,78.0,2024-12-11 08:12:07,76.0,2024-12-11 08:12:07,44.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,78.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,79.0,2024-12-11 11:12:07,79.0,2024-12-11 11:12:07,29.0,2024-12-11 11:12:07,25.0,2024-12-11 11:12:07,109.0,2024-12-11 12:12:07,109.0,2024-12-11 12:12:07,71.0,2024-12-11 12:12:07
799,城市内涝,PS011866839217527730177,1,是,误报,手机天气预报的截图显示晴天,误报警,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 21:35:28,2024-12-11 09:12:07,43.0,15.0,43.0,18262622352,误报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/204FEFF9-1C77-4282-9253-4876C1141178_1733924162403.png,2024-12-11 09:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,78.0,2024-12-11 08:12:07,76.0,2024-12-11 08:12:07,44.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,79.0,2024-12-11 07:12:07,79.0,2024-12-11 07:12:07,57.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,78.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,78.0,2024-12-11 10:12:07,78.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07,79.0,2024-12-11 11:12:07,79.0,2024-12-11 11:12:07,29.0,2024-12-11 11:12:07
800,城市内涝,PS011866815981444292610,1,是,误报,手机天气预报的截图显示晴天,误报警,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 20:03:08,2024-12-11 08:12:07,44.0,15.0,43.0,18262622352,误报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/35E560A1-9121-4618-8590-A6F7626D2DA9_1733923897316.png,2024-12-11 08:12:07,44.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,79.0,2024-12-11 07:12:07,79.0,2024-12-11 07:12:07,57.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,57.0,2024-12-11 05:12:07,57.0,2024-12-11 05:12:07,78.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07,78.0,2024-12-11 10:12:07,78.0,2024-12-11 10:12:07,38.0,2024-12-11 10:12:07
801,城市内涝,PS011866808431017615364,1,是,误报,手机天气预报的截图显示晴天,当日无降雨，不会产生积水,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 19:33:08,2024-12-11 07:12:07,44.0,15.0,44.0,18262622352,当日无降雨，不会产生积水,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/4F81C8B6-BB59-4D73-BA71-981C7C376704_1733916850596.png,2024-12-11 07:12:07,57.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,57.0,2024-12-11 05:12:07,57.0,2024-12-11 05:12:07,77.0,2024-12-11 05:12:07,77.0,2024-12-11 05:12:07,57.0,2024-12-11 04:12:07,63.0,2024-12-11 04:12:07,79.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,44.0,2024-12-11 07:12:07,76.0,2024-12-11 08:12:07,78.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07
802,城市内涝,PS011866800881694048258,1,是,误报,手机天气预报的截图显示晴天,当日无降雨，无积水,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 19:03:08,2024-12-11 07:12:07,39.0,15.0,39.0,18262622352,当日无降雨，无积水,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/C4BF9166-19D0-4526-A2DB-0E8B48F275F3_1733915070719.png,2024-12-11 07:12:07,57.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,57.0,2024-12-11 05:12:07,57.0,2024-12-11 05:12:07,77.0,2024-12-11 05:12:07,77.0,2024-12-11 05:12:07,57.0,2024-12-11 04:12:07,63.0,2024-12-11 04:12:07,79.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,44.0,2024-12-11 07:12:07,76.0,2024-12-11 08:12:07,78.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07,78.0,2024-12-11 09:12:07,78.0,2024-12-11 09:12:07,43.0,2024-12-11 09:12:07
803,城市内涝,PS011866793330722193414,1,是,误报,手机天气预报的截图显示晴天,当日无降雨，不可能出现57cm积水,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 18:33:08,2024-12-11 06:12:07,57.0,15.0,57.0,18262622352,当日无降雨，不可能出现57cm积水,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/8FA807B9-A2C9-4B4E-A0DC-CC2770703A92_1733913250109.png,2024-12-11 06:12:07,57.0,2024-12-11 05:12:07,57.0,2024-12-11 05:12:07,77.0,2024-12-11 05:12:07,77.0,2024-12-11 05:12:07,57.0,2024-12-11 04:12:07,63.0,2024-12-11 04:12:07,78.0,2024-12-11 04:12:07,83.0,2024-12-11 04:12:07,67.0,2024-12-11 03:12:07,67.0,2024-12-11 03:12:07,77.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,79.0,2024-12-11 07:12:07,79.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07,44.0,2024-12-11 07:12:07,76.0,2024-12-11 08:12:07,78.0,2024-12-11 08:12:07,44.0,2024-12-11 08:12:07
804,城市内涝,PS011866778551567671297,1,是,误报,手机天气预报的截图显示晴天,当日无降雨，不可能出现57cm积水。,消警,PS0101,24005664,平江小太平巷地埋式积水监测,平江小太平巷,2024-12-11 17:34:24,2024-12-11 05:12:07,57.0,15.0,57.0,18262622352,当日无降雨，不可能出现57cm积水。,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/17C246C0-1055-4E92-B2ED-F7027D84A4BC_1733913034296.png,2024-12-11 05:12:07,57.0,2024-12-11 04:12:07,63.0,2024-12-11 04:12:07,78.0,2024-12-11 04:12:07,83.0,2024-12-11 04:12:07,67.0,2024-12-11 03:12:07,67.0,2024-12-11 03:12:07,97.0,2024-12-11 03:12:07,97.0,2024-12-11 03:12:07,69.0,2024-12-11 02:12:07,66.0,2024-12-11 02:12:07,77.0,2024-12-11 05:12:07,57.0,2024-12-11 05:12:07,57.0,2024-12-11 05:12:07,77.0,2024-12-11 06:12:07,77.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,57.0,2024-12-11 06:12:07,79.0,2024-12-11 07:12:07,79.0,2024-12-11 07:12:07,39.0,2024-12-11 07:12:07
805,城市内涝,PS011863515223483625475,2,是,误报,现场照片正常，地面有少量积水,设备无报警,消警,PS0101,2faf200284f911ee8532fa163e52739e,现代大道下穿星港街电子水尺,现代大道下穿星港街立交,2024-12-02 17:27:06,2024-11-25 01:09:33,14.0,10.0,11.0,工业园区-吴罗芳,设备无报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/核实照片_1733132454077.png,2024-11-25 01:09:33,0.0,2024-11-25 01:04:33,0.0,2024-11-25 01:04:33,0.0,2024-11-25 00:59:33,0.0,2024-11-25 00:59:33,10.0,2024-11-25 00:54:33,10.0,2024-11-25 00:54:33,0.0,2024-11-25 00:49:33,0.0,2024-11-25 00:49:33,0.0,2024-11-25 00:44:33,0.0,2024-11-25 00:44:33,14.0,2024-11-25 01:09:33,0.0,2024-11-25 01:14:33,0.0,2024-11-25 01:14:33,0.0,2024-11-25 01:19:33,0.0,2024-11-25 01:19:33,11.0,2024-11-25 01:24:33,11.0,2024-11-25 01:24:33,0.0,2024-11-25 01:29:33,0.0,2024-11-25 01:29:33,0.0,2024-11-25 01:34:33
806,城市内涝,PS011856542528485339138,2,是,误报,现场正常,误报警,消警,PS0101,2faf1c4384f911ee8532fa163e52739e,环秀湖隧道西向东电子水尺,环秀湖隧道,2024-11-13 11:40:06,2024-11-13 11:12:23,11.0,10.0,11.0,相城区-贾照彬,误报警,[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/7e1fddfbc0ea2c0f2b799087f0d9dc2e_compress_1731475733908.jpg,2024-11-13 11:12:23,8.0,2024-11-13 11:11:23,8.0,2024-11-13 11:11:23,5.0,2024-11-13 11:10:23,5.0,2024-11-13 11:10:23,8.0,2024-11-13 11:09:23,8.0,2024-11-13 11:09:23,9.0,2024-11-13 11:08:23,9.0,2024-11-13 11:08:23,9.0,2024-11-13 11:07:23,9.0,2024-11-13 11:07:23,11.0,2024-11-13 11:12:23,6.0,2024-11-13 11:13:23,6.0,2024-11-13 11:13:23,8.0,2024-11-13 11:14:23,8.0,2024-11-13 11:14:23,9.0,2024-11-13 11:15:23,9.0,2024-11-13 11:15:23,9.0,2024-11-13 11:16:23,9.0,2024-11-13 11:16:23,8.0,2024-11-13 11:17:23
